p,d,q,seasonal_order,aic,status,error
4,2,3,"(1, 0, 1, 24)",15293.182692885664,ok,
1,2,3,"(1, 0, 1, 24)",15296.724647350613,ok,
2,1,0,"(1, 0, 1, 24)",15297.383830198656,ok,
2,2,3,"(1, 0, 1, 24)",15299.21901992007,ok,
5,2,2,"(1, 0, 1, 24)",15305.241606226591,ok,
4,2,4,"(1, 0, 1, 24)",15321.989669220122,ok,
1,2,2,"(1, 0, 1, 24)",15324.407883235774,ok,
5,2,4,"(1, 0, 1, 24)",15325.662701765521,ok,
1,2,1,"(1, 0, 1, 24)",15334.676705903272,ok,
1,1,0,"(1, 0, 1, 24)",15335.690722071125,ok,
3,2,2,"(1, 0, 1, 24)",15355.131103078598,ok,
0,2,2,"(1, 0, 1, 24)",15359.455534282075,ok,
2,2,1,"(1, 0, 1, 24)",15366.238893620923,ok,
6,0,3,"(1, 0, 1, 24)",15369.929024457047,ok,
0,0,1,"(1, 0, 1, 24)",15372.587150105423,ok,
6,2,0,"(1, 0, 1, 24)",15434.708476007767,ok,
5,2,0,"(1, 0, 1, 24)",15496.14267842867,ok,
0,2,1,"(1, 0, 1, 24)",15512.50618098129,ok,
0,1,0,"(1, 0, 1, 24)",15521.130016809977,ok,
4,2,0,"(1, 0, 1, 24)",15562.667738384527,ok,
0,0,0,"(1, 0, 1, 24)",15577.156311098075,ok,
3,2,0,"(1, 0, 1, 24)",15659.424230665749,ok,
5,0,3,"(1, 0, 1, 24)",15667.596023178727,ok,
2,2,0,"(1, 0, 1, 24)",15787.792766104765,ok,
1,2,0,"(1, 0, 1, 24)",15980.421976100337,ok,
0,2,0,"(1, 0, 1, 24)",16571.111214524768,ok,
